id,email,first_name,last_name,phone,registration_date,total_orders,total_returns,return_rate,fraud_score,risk_level,is_blacklisted,created_at,_risk_profile
2f400e77-7584-45c1-9770-09f106aeb88c,randypayne@example.net,Melissa,Wilson,001-370-603-6918x63370,2025-06-02T16:22:59.701000,9,2,0.2222222222222222,0.0,low,False,2025-09-28T11:37:41.954000,high_risk
1f78cb98-1b1e-4437-bc70-398c07758298,gduncan@example.net,Edward,Dillon,441-417-4417,2024-10-07T11:39:37.404000,6,2,0.3333333333333333,66.66666666666666,high,False,2025-09-28T11:37:41.954000,high_risk
e69b0dd4-1f87-4689-a47a-6f60a5cd3102,amandahughes@example.org,Andrew,Webb,5647814060,2024-11-03T09:14:19.178000,4,1,0.25,0.0,low,False,2025-09-28T11:37:41.955000,high_risk
12b90911-720c-4338-a7ff-8ea036c0e24e,christina01@example.org,Beth,Rodriguez,(901)563-2026,2024-04-27T02:29:28.074000,7,2,0.2857142857142857,0.0,low,False,2025-09-28T11:37:41.955000,high_risk
4e5517ca-727c-4115-b5c9-a3034019f20b,katelynpaul@example.com,Alyssa,Jackson,827-459-1091,2025-02-19T16:38:13.846000,5,1,0.2,0.0,low,False,2025-09-28T11:37:41.955000,high_risk
c93c5c48-e4bd-405b-8c10-5c93beb02641,martinezannette@example.org,Lisa,Gray,(628)749-9858,2024-10-13T18:21:06.253000,3,0,0.0,0.0,low,False,2025-09-28T11:37:41.955000,high_risk
9d22fd72-beac-4b6d-b10c-a8fb1debad75,vcole@example.com,Harold,Bennett,+1-752-930-0124x938,2023-12-31T15:47:14.094000,2,0,0.0,0.0,low,False,2025-09-28T11:37:41.955000,high_risk
f243d769-825b-4cbd-a9cd-62311eb7c40c,meganmiller@example.net,Joel,Watkins,4104796704,2025-03-18T03:43:14.794000,7,0,0.0,0.0,low,False,2025-09-28T11:37:41.956000,high_risk
48106b94-9f63-4ef1-9886-dbca68018bbd,stevenscott@example.org,Matthew,Floyd,9126344910,2023-11-24T21:38:10.007000,4,0,0.0,0.0,low,False,2025-09-28T11:37:41.956000,high_risk
7be057f7-f8f8-4cf6-84ba-9a21f96c8f4f,david28@example.com,April,Glass,(579)717-9407x35470,2025-01-13T17:00:45.559000,3,0,0.0,0.0,low,False,2025-09-28T11:37:41.956000,high_risk
3c2722dd-4393-4a22-b66b-13d8ad2bd9cc,michael27@example.org,Lori,Anderson,582-827-6678x33767,2024-10-03T17:46:43.703000,5,0,0.0,0.0,low,False,2025-09-28T11:37:41.956000,high_risk
90cfb616-49c5-484e-854a-4d381fe368c9,lhopkins@example.net,Juan,Peterson,911.674.8836x428,2024-05-12T21:47:18.115000,7,1,0.14285714285714285,0.0,low,False,2025-09-28T11:37:41.956000,high_risk
c9988ed5-62b1-4969-8a5c-d254004a4a8e,hannahpowell@example.com,Rodney,Murphy,575.404.7860,2024-06-14T10:32:45.702000,4,0,0.0,0.0,low,False,2025-09-28T11:37:41.957000,high_risk
cb3dee43-c976-4c1b-a836-8135c1d2bfe3,alexjackson@example.net,Michelle,Castro,(571)214-0799x8955,2025-05-22T01:36:36.878000,4,0,0.0,0.0,low,False,2025-09-28T11:37:41.957000,high_risk
9ad15501-676c-4ead-a577-6fe377e89a70,zachary62@example.net,Stacy,Kelly,001-478-900-3427x4634,2025-05-22T22:24:20.715000,6,1,0.16666666666666666,0.0,low,False,2025-09-28T11:37:41.957000,high_risk
82da5925-fda8-45b7-acd3-00550bf2595f,deborah22@example.com,Kimberly,Dodson,001-784-627-9230x3345,2025-03-03T07:25:52.293000,5,0,0.0,0.0,low,False,2025-09-28T11:37:41.957000,high_risk
dd7af7ed-9d6d-4540-a0df-fcf8883d4dcd,fnorman@example.net,Mary,Hendrix,001-942-504-4288x71653,2025-04-01T08:46:05.059000,5,2,0.4,80.0,critical,False,2025-09-28T11:37:41.957000,high_risk
abadce59-f50a-4f26-b2b6-0009998c87e0,dianamata@example.org,Nicholas,Rollins,557-311-1712x44254,2025-01-23T10:00:10.480000,4,1,0.25,0.0,low,False,2025-09-28T11:37:41.958000,high_risk
1424d2cf-8dc9-4f42-a0df-7dfe35ce7b0a,steven03@example.org,Cameron,Cline,(238)728-3675x91252,2025-06-14T18:06:18.804000,5,1,0.2,0.0,low,False,2025-09-28T11:37:41.958000,high_risk
b31508f4-4eaf-4572-95ba-fa4151efae1d,ronald63@example.net,Alex,Johnson,001-497-282-5035,2024-06-11T21:50:59.153000,3,1,0.3333333333333333,66.66666666666666,high,False,2025-09-28T11:37:41.958000,high_risk
7f1e0159-574f-4b17-bde1-1ed2f18c1f5f,laurietaylor@example.com,Charles,Hobbs,452-662-4749,2024-10-30T08:33:47.052000,2,1,0.5,100.0,critical,False,2025-09-28T11:37:41.958000,high_risk
7ffab21d-a815-4492-b3fa-e2fda8b348f2,clarkamanda@example.com,Marissa,Cain,660.410.8702x1617,2024-07-27T20:56:02.191000,6,1,0.16666666666666666,0.0,low,False,2025-09-28T11:37:41.958000,high_risk
1e72bd72-b7ae-47c3-9172-66fa1365735a,laurawoods@example.org,Amy,Williams,+1-445-327-3148x26870,2024-12-04T18:21:58.958000,6,0,0.0,0.0,low,False,2025-09-28T11:37:41.959000,high_risk
c1401b35-e8a3-4d70-88e7-f85ad88d2bef,debrapage@example.net,Holly,Lopez,(665)542-5420x66918,2024-12-19T01:03:56.612000,4,1,0.25,0.0,low,False,2025-09-28T11:37:41.959000,high_risk
3a430196-a601-446d-982b-557139572f1e,wobrien@example.com,Andre,Richards,499.996.9274x72505,2025-09-04T04:47:53.098000,1,0,0.0,0.0,low,False,2025-09-28T11:37:41.959000,high_risk
7228526f-189b-4803-882b-5e970ab6017f,iwiggins@example.net,Victoria,Lester,+1-451-973-3060x00691,2025-05-12T15:36:19.319000,0,0,0.0,0.0,low,False,2025-09-28T11:37:41.959000,high_risk
2d712b95-5e7d-4414-8544-33b2f98b4079,kevinwells@example.com,Felicia,Christensen,001-272-972-6363x079,2025-01-02T06:47:25.081000,3,0,0.0,0.0,low,False,2025-09-28T11:37:41.959000,high_risk
17518f5c-b491-4ab2-81c5-5f6917304c8e,cdaugherty@example.org,Melanie,Reynolds,001-493-898-8604x04092,2025-05-04T06:43:27.744000,5,1,0.2,0.0,low,False,2025-09-28T11:37:41.960000,high_risk
d83e604c-adee-4514-a177-3fd3a38a63c7,gina16@example.net,Ricky,Lara,698.952.3534x5418,2025-09-24T10:33:18.976000,4,1,0.25,0.0,low,False,2025-09-28T11:37:41.960000,high_risk
aa72bfa1-20b5-4896-8378-c668af72c6e4,ewilliams@example.org,Don,Harris,(828)487-3578,2024-02-22T21:32:39.319000,8,0,0.0,0.0,low,False,2025-09-28T11:37:41.960000,high_risk
0e7c73d4-f350-4b86-8a04-c1863c7a3459,karensavage@example.org,Alyssa,Jones,815.766.0209x18864,2024-03-18T00:28:29.081000,5,1,0.2,0.0,low,False,2025-09-28T11:37:41.960000,high_risk
958096bc-1e4f-46aa-b49e-b2cd86462805,matthew91@example.net,Kimberly,Booth,219-243-7383x119,2023-10-08T16:02:46.533000,6,0,0.0,0.0,low,False,2025-09-28T11:37:41.960000,high_risk
345b61ad-387e-48c8-aecd-13ecbd0f19ab,crystal67@example.net,David,Craig,(467)739-9269,2024-11-24T15:44:54.300000,9,2,0.2222222222222222,0.0,low,False,2025-09-28T11:37:41.960000,high_risk
d70878d6-a16f-426f-828c-67f4d781fc1c,thomasoscar@example.net,Joseph,Johnson,697.745.7478x664,2025-02-27T18:59:15.121000,2,0,0.0,0.0,low,False,2025-09-28T11:37:41.961000,high_risk
3e39bb85-9288-42a8-85ab-24ffd0f87caa,charlesneal@example.com,Stephen,Miranda,+1-830-351-0561x6094,2024-09-03T20:33:58.658000,5,1,0.2,0.0,low,False,2025-09-28T11:37:41.961000,high_risk
2c119d2f-3de9-4403-8bc7-407de29fbbe2,mark89@example.com,Katrina,Sanchez,+1-856-738-4662x225,2024-06-13T14:51:02.278000,6,2,0.3333333333333333,66.66666666666666,high,False,2025-09-28T11:37:41.961000,high_risk
aabf01c8-a4f9-48b8-8df6-3d3a54d5842d,chelsea16@example.com,Rachel,Weaver,+1-983-231-0667x946,2025-01-14T14:51:18.429000,6,0,0.0,0.0,low,False,2025-09-28T11:37:41.961000,high_risk
cdc53f76-8a01-466b-b2b2-ca419f967121,leonbradley@example.org,Randy,Wood,345-389-6457x30957,2025-04-17T00:54:59.679000,5,0,0.0,0.0,low,False,2025-09-28T11:37:41.961000,high_risk
cccdc57f-02e3-4fb4-af0b-dae03dcc1198,jennifer68@example.com,Scott,Dominguez,001-779-585-9596x03376,2024-12-05T16:38:20.781000,1,0,0.0,0.0,low,False,2025-09-28T11:37:41.962000,high_risk
c7f45821-22cb-4193-a40c-8810cce50a27,billy71@example.org,David,Gibson,846-929-9472x372,2024-12-24T08:13:04.647000,5,0,0.0,0.0,low,False,2025-09-28T11:37:41.962000,high_risk
4a885223-2e56-4101-90ca-bd065ac5a5be,erik38@example.org,Chloe,Wright,473-294-7664x91357,2024-08-21T16:48:29.079000,3,0,0.0,0.0,low,False,2025-09-28T11:37:41.962000,high_risk
04f12a35-96c6-4649-9c0f-bd92380643fb,mariah93@example.org,Amanda,Gordon,001-839-484-6516x43064,2025-07-03T22:13:13.128000,6,0,0.0,0.0,low,False,2025-09-28T11:37:41.962000,high_risk
931c91af-4048-4b54-879b-604eae61f764,david55@example.net,Thomas,Perkins,(860)907-7335x992,2024-02-04T13:09:18.389000,7,0,0.0,0.0,low,False,2025-09-28T11:37:41.962000,high_risk
5f221dc3-292c-4bfd-8d4b-a27fc1aac588,meghan35@example.com,Madison,Martinez,(321)741-7962,2024-11-07T21:01:47.603000,4,0,0.0,0.0,low,False,2025-09-28T11:37:41.962000,high_risk
5bc05334-beff-469c-912b-75ac87d6e53d,phamilton@example.net,Christina,Ward,7519136826,2025-01-04T01:36:10.159000,5,0,0.0,0.0,low,False,2025-09-28T11:37:41.963000,high_risk
bb204c86-d101-4645-800d-449e6ad08bd7,kristine11@example.com,Jonathan,Rogers,405.689.7629x120,2025-01-30T16:02:25.174000,2,0,0.0,0.0,low,False,2025-09-28T11:37:41.963000,high_risk
8b7f2869-e72b-4742-bdc9-ad452fe285dd,hillalexis@example.net,Kim,Bennett,452-945-7980x940,2024-05-01T07:18:20.484000,4,1,0.25,0.0,low,False,2025-09-28T11:37:41.963000,high_risk
1327e6b3-51f6-4c2e-b9fe-5114cab61c00,ellisjustin@example.net,Martin,Freeman,001-266-505-3126x734,2023-12-04T01:47:22.130000,11,1,0.09090909090909091,0.0,low,False,2025-09-28T11:37:41.963000,high_risk
4af6abd0-9a88-49ae-a042-e2c1d9888bbe,zsalinas@example.net,Justin,Smith,383-677-0391x841,2025-09-09T17:15:20.990000,4,2,0.5,100.0,critical,False,2025-09-28T11:37:41.963000,high_risk
c923e9e2-6e7e-40d8-99a1-1be970089c55,matthew39@example.com,Andrew,Nelson,249.927.0242,2025-08-05T06:40:14.555000,1,0,0.0,0.0,low,False,2025-09-28T11:37:41.963000,high_risk
44103e94-341d-4c09-b2d4-dc8632283d18,jonesmegan@example.com,Sandra,Carrillo,9832248573,2025-05-10T10:31:53.375000,9,1,0.1111111111111111,0.0,low,False,2025-09-28T11:37:41.964000,medium_risk
f3f4cc4b-0dea-4316-bc65-4f4fb78e7087,martintiffany@example.org,Kara,Mcdonald,001-563-865-9857,2024-04-04T03:17:57.256000,3,1,0.3333333333333333,66.66666666666666,high,False,2025-09-28T11:37:41.964000,medium_risk
59a41bd0-0dd0-4b9e-8932-20f7ae3a47b1,amanda54@example.com,Julia,Thomas,(811)507-5854,2025-09-22T04:06:56.809000,7,0,0.0,0.0,low,False,2025-09-28T11:37:41.964000,medium_risk
c1d17079-4922-4028-a5ed-01fcccb9c820,sheenapatterson@example.net,Brandi,Bowman,735-974-4487x47210,2025-09-17T18:09:40.437000,4,1,0.25,0.0,low,False,2025-09-28T11:37:41.964000,medium_risk
cfa1f248-1433-4bf8-b278-dee08ad618c7,christopher40@example.net,Debra,Richards,256-688-9887x9104,2024-12-21T08:16:33.877000,7,1,0.14285714285714285,0.0,low,False,2025-09-28T11:37:41.964000,medium_risk
727dd95f-6e4b-4c62-8238-623b4a8f1e94,wallacejohn@example.com,Charles,Huang,+1-405-688-8723,2025-07-27T20:06:20.521000,7,2,0.2857142857142857,0.0,low,False,2025-09-28T11:37:41.965000,medium_risk
6f137e32-ac69-4c71-a13e-3365abd61b3d,georgegilbert@example.com,Jeremy,Mccormick,001-502-271-5400x33344,2024-02-08T10:13:05.010000,3,0,0.0,0.0,low,False,2025-09-28T11:37:41.965000,medium_risk
76ca1a12-c01b-43f8-acf5-4cd75636b3a3,hchang@example.org,William,Baker,3044512942,2023-11-07T07:00:49.334000,3,1,0.3333333333333333,66.66666666666666,high,False,2025-09-28T11:37:41.965000,medium_risk
f9b97354-424b-4f08-b636-7679ede24b80,emartinez@example.com,Tyler,Snyder,(901)405-2973x57190,2023-11-06T23:24:40.237000,7,2,0.2857142857142857,0.0,low,False,2025-09-28T11:37:41.965000,medium_risk
