id,order_id,customer_id,customer_email,product_id,product_name,quantity_returned,reason,description,return_date,refund_amount,is_fraud_suspected,fraud_score,fraud_indicators,processing_time_days,created_at
1ee69b72-1f5f-4c02-8a12-75808840df74,048321d2-82be-4328-a0a8-a3a7d480b9f0,12270db3-9468-4f87-b830-bfdc3ce0e96c,philip02@example.org,9128625e-95b9-4a0d-8a24-337e98bd924a,Right-sized systemic intranet Team Sports,1,damaged_shipping,"Mother feel its other. Line reflect this add relate.
Growth give within investment rest hand. Appear scientist activity kitchen skin section clear. Available agency other bad woman success carry.",2025-07-22T12:53:10.840000,113.22,False,0.0,[],6,2025-09-28T11:37:42.909000
d663f2c1-639c-48ea-a1b2-2c2a1eb8a852,8ea740dc-5cda-4c08-8937-89c32905c728,d257a74a-602b-4aba-b5ba-26305a6731e8,aporter@example.org,42280832-f56a-475d-b4dc-1556b5adfe99,Synergized grid-enabled groupware Team Sports,1,size_issue,"Big we great leave story. Prevent east sense question thought.
Democrat white physical hour. Series west deal guy true. Move sort might black.",2025-09-24T19:33:13.533000,217.97,False,0.0,[],1,2025-09-28T11:37:42.910000
b46fc81b-ec0f-44cc-8756-2cc765a651af,6ae6d38d-e3be-4144-adf9-34810462e70a,a7e53e50-c6a8-4c8d-be99-3d93ee50881e,hsanchez@example.net,5c7ca8e0-f4b6-4d66-a8cc-b348b32c3463,Automated background project Fragrance,2,changed_mind,Yard measure another because language another partner. Theory thus catch situation only oil name recently. Fire already wait weight civil.,2025-06-18T19:01:44.443000,142.73,True,81.81761437460412,"['Suspicious return reason: ReturnReason.CHANGED_MIND', 'Pattern matches known fraud indicators']",13,2025-09-28T11:37:42.910000
742fd4e2-e51d-4e74-b886-fa63e02ed0d6,f1c646a1-58d9-4bdd-b16b-7a984285834c,5cb509d2-26c6-4a8a-880b-c2e5ee791591,floreswilliam@example.com,781c2009-1db6-4ffd-a528-0a415633b4ee,Realigned context-sensitive instruction set Men's Fashion,1,late_delivery,"Movie wear structure environmental in wind weight now. Air film exactly marriage final.
Mother herself type voice. Knowledge fish happy lot believe party.",2025-05-05T11:32:35.226000,154.58,False,0.0,[],13,2025-09-28T11:37:42.911000
e1220a20-96b9-4d60-af74-248ca04bce47,9217b8a3-ff36-4bc4-a319-ee92f8d23d98,01dff4e7-66c8-49f8-a454-f966b1d31839,yjacobs@example.org,48928c14-b303-441d-afd7-fa53cd628d34,Ergonomic solution-oriented open architecture Kitchen,1,late_delivery,Occur together successful debate hair appear. Large there whatever western bill chance. House article who system.,2025-09-19T19:39:27.286000,310.97,False,0.0,[],13,2025-09-28T11:37:42.911000
644228e0-7f07-4e8e-8a74-704065c258e9,1a308189-8a87-4e0e-84db-9c212723bb63,a5393120-017a-4e89-8f63-ed05cfbe8fc9,ihobbs@example.org,97f65edf-e57f-433c-8510-0ea1c85eb386,Reverse-engineered intangible approach Accessories,1,defective,Wide lead behavior. Friend leg modern serious investment professional newspaper. News song wife significant beautiful.,2025-07-26T13:06:06.816000,188.48,False,0.0,[],8,2025-09-28T11:37:42.912000
6e31dbe4-471f-4eaa-b828-009ec12f64cb,17176702-a4ea-4d9c-940e-dba0873ce6bf,c59adc32-81ee-4756-aaf3-a67ac2b8c306,mbrown@example.org,0f9710e9-869f-4105-9fe1-1519e3f4a499,Inverse full-range policy Tools,1,defective,Pattern answer nor company decide big your. Tree outside itself one but president. Card determine wait employee challenge reduce enough.,2025-08-28T17:53:26.005000,549.07,False,0.0,[],5,2025-09-28T11:37:42.912000
ee50b704-8837-4ca2-8f76-da1b6421c8eb,277a1700-19ce-450a-9790-fa3cbef26976,8b88c072-8a21-430a-82b9-532fa8a7372c,jamie05@example.org,d6323f22-da83-4165-832c-af996e4159aa,De-engineered well-modulated architecture Tools,1,size_issue,Traditional relationship follow. Fast southern this green general thus through.,2025-04-14T02:10:51.706000,186.15,False,0.0,[],8,2025-09-28T11:37:42.913000
cab48228-9127-493b-9626-3db5dd888e3a,558de62f-8c71-4c12-8104-75802236b65f,7904cb5f-5acc-46aa-b16a-501ac5bf8fcb,valerievelazquez@example.org,23667e9d-9282-4070-82e8-367bbc3e3f48,Robust bi-directional orchestration Accessories,2,not_as_described,Especially student mission spend black significant really recent. Know reason check before show. Increase claim measure century well arm animal. Race least visit people current chair.,2025-07-23T16:47:50.531000,65.65,True,89.9573498244857,"['Suspicious return reason: ReturnReason.NOT_AS_DESCRIBED', 'Pattern matches known fraud indicators']",17,2025-09-28T11:37:42.914000
4ae5a8f8-129c-493d-8c47-574ec9827553,be1d8d45-1b40-4757-8379-6ec5889327e2,f4f6833e-dcba-42b0-8861-2318b7ba2b84,smithjason@example.org,39455b67-da43-4006-a69d-91415e5038b8,Triple-buffered client-server forecast Women's Fashion,1,late_delivery,"Tax art citizen choose world. Glass meet sing former off. Mother there eight style condition should what.
Least age challenge challenge.",2025-07-22T22:36:08.124000,258.52,False,0.0,[],14,2025-09-28T11:37:42.914000
fa528499-3aad-4660-ba65-9b3fc64c0c52,965fb9aa-32d8-4d8b-99d5-b6437a0c235d,d3439a04-e0ab-45c3-98d2-5d7335acc392,awong@example.com,0ec98d90-264e-40dd-892b-8009822148c8,Robust modular methodology Accessories,1,not_as_described,Partner also explain opportunity deal stuff happen fire. Process myself figure our them somebody indicate. Watch sell process try matter much. Fill operation middle local also.,2025-08-17T12:51:20.513000,365.71,False,0.0,[],5,2025-09-28T11:37:42.914000
e02eddb5-a617-40d1-bec4-24faf3b9b474,dfe2d740-dcbe-43d0-915f-6474eaddfc2b,2fec23fb-0a6d-40b3-96e5-c1412bbb24ad,jason75@example.org,13c815a1-5c3f-4c05-9788-99f50dc2babb,Open-architected 24/7 system engine Accessories,1,defective,"Around remain play collection ahead water rich wide. Power situation quite according world trip.
Leader official together. From learn claim Congress land read TV purpose.",2025-10-07T18:11:48.587000,1388.99,False,0.0,[],9,2025-09-28T11:37:42.915000
43882aaf-dc37-4945-9dbe-ba25968510f1,9f208a45-5133-4de8-8f9c-6154a91be77d,d5f57e2f-49ca-407a-a40a-6d0d357762a5,alyssa45@example.com,d4634258-ab71-4be6-afca-a21c1c5ff345,Configurable scalable info-mediaries Women's Fashion,2,not_as_described,"Attention national together word third skin. Find find school think yeah.
Look word music act kitchen.
Yeah arrive listen. Member catch trip notice pattern knowledge teach explain.",2025-08-29T03:44:44.952000,392.95,False,0.0,[],10,2025-09-28T11:37:42.915000
066202b6-2fd6-4a3a-9d5e-06fc1563c4d9,59779018-b9c0-4644-a11e-27fb36559fcb,47d189e9-633d-47c0-8eb1-359347f92b3d,lauramanning@example.com,fb25c775-ac3d-4e55-89cb-7fa29b8f7596,Distributed zero tolerance help-desk Kids Fashion,2,not_as_described,Test recognize floor away. Out everything skin three item own. Single design question politics condition him.,2025-07-08T17:00:54.436000,349.18,False,0.0,[],2,2025-09-28T11:37:42.916000
6dac518d-a2ca-4e03-85f1-c4767f6f06c5,a8f7b3d7-fa5a-4947-83bf-238a782a7311,5cb509d2-26c6-4a8a-880b-c2e5ee791591,floreswilliam@example.com,c6857a96-6f58-407b-a22e-10cfe92aec82,Open-source value-added instruction set Smartphones,1,size_issue,Few wide management lay candidate. On beautiful face fly deal your. President mean sea fast suggest occur.,2025-08-07T19:16:43.084000,395.29,False,0.0,[],11,2025-09-28T11:37:42.916000
